Username,User,A,P,B,P,C,P,Global,P
u24690997,u24690997 Дунд,100.0,,100.0,,52.0,,252.0,
u24691250,u24691250 Дунд,100.0,,100.0,,52.0,,252.0,
u24691537,u24691537 Дунд,100.0,,100.0,,52.0,,252.0,
u24691170,u24691170 Дунд,17.0,,100.0,,100.0,,217.0,
u24691489,u24691489 Дунд,17.0,,100.0,,100.0,,217.0,
u24691573,u24691573 Дунд,17.0,,100.0,,100.0,,217.0,
u24691384,u24691384 Дунд,42.0,,100.0,,70.0,,212.0,
u24691457,u24691457 Дунд,17.0,,100.0,,91.0,,208.0,
u24690738,u24690738 Дунд,17.0,,100.0,,87.0,,204.0,
u24691213,u24691213 Дунд,17.0,,100.0,,87.0,,204.0,
u24691462,u24691462 Дунд,17.0,,100.0,,87.0,,204.0,
u24691029,u24691029 Дунд,0.0,,90.0,,100.0,,190.0,
u24691367,u24691367 Дунд,33.0,,90.0,,26.0,,149.0,
u24691180,u24691180 Дунд,42.0,,100.0,,4.0,,146.0,
u24691260,u24691260 Дунд,100.0,,30.0,,4.0,,134.0,
u24691488,u24691488 Дунд,17.0,,60.0,,57.0,,134.0,
u24691571,u24691571 Дунд,8.0,,100.0,,13.0,,121.0,
u24691181,u24691181 Дунд,8.0,,100.0,,9.0,,117.0,
u24691566,u24691566 Дунд,25.0,,30.0,,48.0,,103.0,
u24690946,u24690946 Дунд,0.0,,90.0,,4.0,,94.0,
u24691425,u24691425 Дунд,8.0,,20.0,,43.0,,71.0,
u24691500,u24691500 Дунд,17.0,,10.0,,22.0,,49.0,
u24691399,u24691399 Дунд,42.0,,0.0,,0.0,,42.0,
u24691510,u24691510 Дунд,17.0,,20.0,,4.0,,41.0,
u24691547,u24691547 Дунд,0.0,,20.0,,9.0,,29.0,
u24691516,u24691516 Дунд,8.0,,10.0,,4.0,,22.0,
u24690867,u24690867 Дунд,0.0,,10.0,,9.0,,19.0,
u24691496,u24691496 Дунд,0.0,,10.0,,9.0,,19.0,
u24691526,u24691526 Дунд,0.0,,10.0,,9.0,,19.0,
u24691583,u24691583 Дунд,0.0,,10.0,,4.0,,14.0,
u24691579,u24691579 Дунд,0.0,,0.0,,13.0,,13.0,
u24691576,u24691576 Дунд,0.0,,10.0,,0.0,,10.0,
u24691491,u24691491 Дунд,0.0,,0.0,,9.0,,9.0,
u24690959,u24690959 Дунд,0.0,,0.0,,0.0,,0.0,
u24691358,u24691358 Дунд,0.0,,0.0,,0.0,,0.0,
u24691564,u24691564 Дунд,0.0,,0.0,,0.0,,0.0,
u24691568,u24691568 Дунд,0.0,,0.0,,0.0,,0.0,
u24691569,u24691569 Дунд,0.0,,0.0,,0.0,,0.0,
u24691570,u24691570 Дунд,0.0,,0.0,,0.0,,0.0,
u24691577,u24691577 Дунд,0.0,,0.0,,0.0,,0.0,
u24691580,u24691580 Дунд,0.0,,0.0,,0.0,,0.0,
u24691581,u24691581 Дунд,0.0,,0.0,,0.0,,0.0,
u24691582,u24691582 Дунд,0.0,,0.0,,0.0,,0.0,
